Stock,Date,Price
Bajaj,3/8/2021,4916
Bajaj,3/9/2021,4985
Bajaj,3/10/2021,4996
Bajaj,3/12/2021,4975
Bajaj,3/15/2021,4842
Bajaj,3/16/2021,4804
Bajaj,3/17/2021,4772
Bajaj,3/18/2021,4715
Bajaj,3/19/2021,4721
Bajaj,3/22/2021,4704
Bajaj,3/23/2021,4700
Bajaj,3/24/2021,4599
Bajaj,3/25/2021,4530
Bajaj,3/26/2021,4733
Bajaj,3/30/2021,4748
Bajaj,3/31/2021,4834
Bajaj,4/1/2021,4895
Bajaj,4/5/2021,4744
Bajaj,4/6/2021,4760
Bajaj,4/7/2021,4770
Bajaj,4/8/2021,4828
Bajaj,4/9/2021,4815
Bajaj,4/12/2021,4581
Bajaj,4/13/2021,4905
Bajaj,4/15/2021,4874
Bajaj,4/16/2021,4911
Bajaj,4/19/2021,4735
Bajaj,4/20/2021,4911
Bajaj,4/22/2021,4928
Bajaj,4/23/2021,4960
Bajaj,4/26/2021,4999
Bajaj,4/27/2021,5043
Bajaj,4/28/2021,5246
Bajaj,4/29/2021,5592
Bajaj,4/30/2021,5520
Bajaj,5/3/2021,5524
Bajaj,5/4/2021,5494
Bajaj,5/5/2021,5554
Bajaj,5/6/2021,5515
Bajaj,5/7/2021,5658
Bajaj,5/10/2021,5669
Bajaj,5/11/2021,5598
Bajaj,5/12/2021,5543
Bajaj,5/14/2021,5484
Bajaj,5/17/2021,5624
Bajaj,5/18/2021,5704
Bajaj,5/19/2021,5603
Bajaj,5/20/2021,5613
Bajaj,5/21/2021,5635
Bajaj,5/24/2021,5581
Bajaj,5/25/2021,5686
Bajaj,5/26/2021,5954
Bajaj,5/27/2021,5942
Bajaj,5/28/2021,5856
Bajaj,5/31/2021,5898
Bajaj,6/1/2021,5916
Bajaj,6/2/2021,5910
Bajaj,6/3/2021,5910
Bajaj,6/4/2021,6076
Bajaj,6/7/2021,5914
Bajaj,6/8/2021,5865
Bajaj,6/9/2021,5779
Bajaj,6/10/2021,5996
Bajaj,6/11/2021,5949
Bajaj,6/14/2021,5966
Bajaj,6/15/2021,5900
Bajaj,6/16/2021,5926
Bajaj,6/17/2021,5909
Bajaj,6/18/2021,5999
Bajaj,6/21/2021,6081
Bajaj,6/22/2021,6067
Bajaj,6/23/2021,6140
Bajaj,6/24/2021,6149
Bajaj,6/25/2021,6244
Bajaj,6/28/2021,6190
Bajaj,6/29/2021,6150
Bajaj,6/30/2021,6058
Bajaj,7/1/2021,5907
Bajaj,7/2/2021,5874
Bajaj,7/5/2021,5962
Bajaj,7/6/2021,6047
Bajaj,7/7/2021,6185
Bajaj,7/8/2021,6166
Bajaj,7/9/2021,6426
Bajaj,7/12/2021,6454
Bajaj,7/13/2021,6456
Bajaj,7/14/2021,6494
Bajaj,7/15/2021,6478
Bajaj,7/16/2021,6376
Bajaj,7/19/2021,6356
Bajaj,7/20/2021,6296
Bajaj,7/22/2021,6533
Bajaj,7/23/2021,6600
Bajaj,7/26/2021,6763
Bajaj,7/27/2021,6901
Bajaj,7/28/2021,6983
Bajaj,7/29/2021,7295
Bajaj,7/30/2021,7111
Bajaj,8/2/2021,7062
Bajaj,8/3/2021,7141
Bajaj,8/4/2021,7093
Bajaj,8/5/2021,6997
Bajaj,8/6/2021,7002
Bajaj,8/9/2021,7120
Bajaj,8/10/2021,7018
Bajaj,8/11/2021,7103
Bajaj,8/12/2021,7170
Bajaj,8/13/2021,7151
Bajaj,8/16/2021,7272
Bajaj,8/17/2021,7374
Bajaj,8/18/2021,7506
Bajaj,8/20/2021,7486
Bajaj,8/23/2021,7634
Bajaj,8/24/2021,8238
Bajaj,8/25/2021,7948
Bajaj,8/26/2021,7978
Bajaj,8/27/2021,8099
Bajaj,8/30/2021,8276
Bajaj,8/31/2021,8567
Bajaj,9/1/2021,8392
Bajaj,9/2/2021,8351
Bajaj,9/3/2021,8364
Bajaj,9/6/2021,8378
Bajaj,9/7/2021,8390
Bajaj,9/8/2021,8282
Bajaj,9/9/2021,8372
Bajaj,9/13/2021,8465
Bajaj,9/14/2021,8417
Bajaj,9/15/2021,8415
Bajaj,9/16/2021,8365
Bajaj,9/17/2021,8420
Bajaj,9/20/2021,8512
Bajaj,9/21/2021,8783
Bajaj,9/22/2021,8806
Bajaj,9/23/2021,9260
Bajaj,9/24/2021,9264
Bajaj,9/27/2021,9020
Bajaj,9/28/2021,8774
Bajaj,9/29/2021,8714
Bajaj,9/30/2021,8894
Bajaj,10/1/2021,8588
Bajaj,10/4/2021,8895
Bajaj,10/5/2021,8924
Bajaj,10/6/2021,8807
Bajaj,10/7/2021,8731
Bajaj,10/8/2021,8776
Bajaj,10/11/2021,8855
Bajaj,10/12/2021,9113
Bajaj,10/13/2021,9093
Bajaj,10/14/2021,9243
Bajaj,10/18/2021,9341
Bajaj,10/19/2021,9527
Bajaj,10/20/2021,9299
Bajaj,10/21/2021,9299
Bajaj,10/22/2021,9332
Bajaj,10/25/2021,9049
Bajaj,10/26/2021,9175
Bajaj,10/27/2021,9007
Bajaj,10/28/2021,9000
Bajaj,10/29/2021,8915
Bajaj,11/1/2021,8782
Bajaj,11/2/2021,8768
Bajaj,11/3/2021,8755
Bajaj,11/4/2021,8798
Bajaj,11/8/2021,9163
Bajaj,11/9/2021,9087
Bajaj,11/10/2021,9158
Bajaj,11/11/2021,8936
Bajaj,11/12/2021,9135
Bajaj,11/15/2021,9060
Bajaj,11/16/2021,9096
Bajaj,11/17/2021,9133
Bajaj,11/18/2021,8956
Bajaj,11/22/2021,8537
Bajaj,11/23/2021,8680
Bajaj,11/24/2021,8719
Bajaj,11/25/2021,8677
Bajaj,11/26/2021,8340
Bajaj,11/29/2021,8445
Bajaj,11/30/2021,8617
Bajaj,12/1/2021,8691
Bajaj,12/2/2021,8876
Bajaj,12/3/2021,8748
Bajaj,12/6/2021,8447
Bajaj,12/7/2021,8554
Bajaj,12/8/2021,8811
Bajaj,12/9/2021,8798
Bajaj,12/10/2021,8862
Bajaj,12/13/2021,8660
